"TIME","GEO","AGE","AGEDEF","C_BIRTH","UNIT","SEX","Value","Flag and Footnotes"
"2008","Italy","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Italy","From 10 to 14 years","Age reached during the year","Unknown","Number","Total","0",""
"2008","Italy","From 15 to 64 years","Age reached during the year","Total","Number","Total","445 663",""
"2008","Italy","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Italy","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Italy","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Italy","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Italy","65 years or over","Age reached during the year","Total","Number","Total","14 428",""
"2008","Italy","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Italy","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Italy","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Italy","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","Cyprus","Total","Age reached during the year","Total","Number","Total",":",""
"2008","Cyprus","Total","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Cyprus","Total","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Cyprus","Total","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Cyprus","Total","Age reached during the year","Unknown","Number","Total",":",""
"2008","Cyprus","From 10 to 14 years","Age reached during the year","Total","Number","Total",":",""
"2008","Cyprus","From 10 to 14 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Cyprus","From 10 to 14 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Cyprus","From 10 to 14 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Cyprus","From 10 to 14 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Cyprus","From 15 to 64 years","Age reached during the year","Total","Number","Total",":",""
"2008","Cyprus","From 15 to 64 years","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Cyprus","From 15 to 64 years","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Cyprus","From 15 to 64 years","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Cyprus","From 15 to 64 years","Age reached during the year","Unknown","Number","Total",":",""
"2008","Cyprus","65 years or over","Age reached during the year","Total","Number","Total",":",""
"2008","Cyprus","65 years or over","Age reached during the year","Reporting country","Number","Total",":",""
"2008","Cyprus","65 years or over","Age reached during the year","EU28 countries (2013-2020) except reporting country","Number","Total",":",""
"2008","Cyprus","65 years or over","Age reached during the year","Non-EU28 countries (2013-2020) nor reporting country","Number","Total",":",""
"2008","Cyprus","65 years or over","Age reached during the year","Unknown","Number","Total",":",""
"2008","Latvia","Total","Age reached during the year","Total","Number","Total","4 678",""
