"TIME","GEO","PROJECTION","UNIT","SEX","AGE","Value","Flag and Footnotes"
"2065","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","428 059 060",""
"2065","Finland","Baseline projections","Person","Total","Total","5 091 285",""
"2065","France","Baseline projections","Person","Total","Total","69 513 952",""
"2065","Croatia","Baseline projections","Person","Total","Total","3 110 857",""
"2065","Hungary","Baseline projections","Person","Total","Total","9 023 553",""
"2065","Ireland","Baseline projections","Person","Total","Total","6 455 703",""
"2065","Iceland","Baseline projections","Person","Total","Total","534 554",""
"2065","Italy","Baseline projections","Person","Total","Total","54 875 845",""
"2065","Liechtenstein","Baseline projections","Person","Total","Total","44 561",""
"2065","Lithuania","Baseline projections","Person","Total","Total","1 886 272",""
"2065","Luxembourg","Baseline projections","Person","Total","Total","785 866",""
"2065","Latvia","Baseline projections","Person","Total","Total","1 224 806",""
"2065","Malta","Baseline projections","Person","Total","Total","702 103",""
"2065","Netherlands","Baseline projections","Person","Total","Total","17 983 158",""
"2065","Norway","Baseline projections","Person","Total","Total","6 628 516",""
"2065","Poland","Baseline projections","Person","Total","Total","31 719 540",""
"2065","Portugal","Baseline projections","Person","Total","Total","8 686 117",""
"2065","Romania","Baseline projections","Person","Total","Total","14 089 550",""
"2065","Sweden","Baseline projections","Person","Total","Total","12 892 854",""
"2065","Slovenia","Baseline projections","Person","Total","Total","1 962 358",""
"2065","Slovakia","Baseline projections","Person","Total","Total","4 841 265",""
"2070","Austria","Baseline projections","Person","Total","Total","9 247 303",""
"2070","Belgium","Baseline projections","Person","Total","Total","11 833 541",""
"2070","Bulgaria","Baseline projections","Person","Total","Total","5 045 851",""
"2070","Switzerland","Baseline projections","Person","Total","Total","10 689 572",""
"2070","Cyprus","Baseline projections","Person","Total","Total","1 098 070",""
"2070","Czechia","Baseline projections","Person","Total","Total","10 213 463",""
"2070","Germany (until 1990 former territory of the FRG)","Baseline projections","Person","Total","Total","81 695 911",""
"2070","Denmark","Baseline projections","Person","Total","Total","6 153 605",""
"2070","Euro area - 19 countries  (from 2015)","Baseline projections","Person","Total","Total","333 325 172",""
"2070","Estonia","Baseline projections","Person","Total","Total","1 193 810",""
"2070","Greece","Baseline projections","Person","Total","Total","8 603 587",""
"2070","Spain","Baseline projections","Person","Total","Total","47 104 113",""
"2070","European Union - 27 countries (from 2020)","Baseline projections","Person","Total","Total","424 343 512",""
"2070","Finland","Baseline projections","Person","Total","Total","5 037 579",""
"2070","France","Baseline projections","Person","Total","Total","69 429 375",""
"2070","Croatia","Baseline projections","Person","Total","Total","3 034 601",""
"2070","Hungary","Baseline projections","Person","Total","Total","8 926 914",""
"2070","Ireland","Baseline projections","Person","Total","Total","6 496 490",""
"2070","Iceland","Baseline projections","Person","Total","Total","548 624",""
"2070","Italy","Baseline projections","Person","Total","Total","53 951 155",""
